geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,int2
"19.4678508129,-99.1151979844",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4666778118,-99.1368574809",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.242566309,-99.1676853074",Socio Organizativo,N/D,Alto,Tlalpan,4.0
"19.2610281065,-99.1688653486",Socio Organizativo,N/D,Alto,Tlalpan,4.0
"19.2601539624,-99.0837332695",Socio Organizativo,N/D,Muy Alto,Xochimilco,5.0
"19.4658623362,-99.1465584094",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.3137286223,-99.1131606556",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.4731650459,-99.061996515",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.457375214,-99.1035674395",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4712696582,-99.1735302829",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.3299505083,-99.1152239685",Geológicos,Sísmico,Alto,Coyoacán,4.0
"19.3424019807,-99.1195157722",Geológicos,Sísmico,Alto,Coyoacán,4.0
"19.3486904685,-99.1766958397",Geológicos,Sísmico,Alto,Coyoacán,4.0
"19.486529734,-99.1811069178",Hidrometeorológicos,Inundaciones,Muy Alto,Azcapotzalco,5.0
"19.5061560879,-99.1836777229",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.503318117,-99.1749040863",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.5042449272,-99.197668288",Hidrometeorológicos,Inundaciones,Muy Alto,Azcapotzalco,5.0
"19.3217736305,-99.1177696413",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.3636283919,-99.0278178367",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3262721179,-99.1212479089",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.3744762078,-99.0112852935",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3607111994,-99.1200325665",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3752801515,-99.1103480882",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.4655415827,-99.1677971915",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.4807639025,-99.1442661246",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.3648809391,-99.100315825",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3263319644,-99.1152219516",Hidrometeorológicos,Inundaciones,Muy Alto,Coyoacán,5.0
"19.4835426339,-99.1846155272",Hidrometeorológicos,Inundaciones,Muy Alto,Azcapotzalco,5.0
"19.4330797657,-99.1216628017",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4788100929,-99.1555058898",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.4235971062,-99.0711500612",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4459686233,-99.1667182919",Hidrometeorológicos,Inundaciones,Muy Alto,Miguel Hidalgo,5.0
"19.4281537187,-99.1014300688",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4994654023,-99.2006880547",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.4731017388,-99.1666485173",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.4698038364,-99.1648159911",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.4481407351,-99.1931548202",Geológicos,Sísmico,Alto,Miguel Hidalgo,4.0
"19.4512582765,-99.1371477194",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.455785477,-99.1470635718",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4692695026,-99.1977386282",Geológicos,Sísmico,Alto,Miguel Hidalgo,4.0
"19.4459270806,-99.1049769201",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4471251806,-99.1098930728",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4498476931,-99.1212947747",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4611685288,-99.1295593797",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.5123472858,-99.1278375968",Hidrometeorológicos,Inundaciones,Alto,Gustavo A. Madero,4.0
"19.3218105736,-98.9625779174",Geológicos,Sísmico,Alto,Tláhuac,4.0
"19.3286504544,-99.0848408645",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.2834636437,-99.1040373012",Socio Organizativo,N/D,Muy Alto,Xochimilco,5.0
"19.385980501,-99.0626803413",Hidrometeorológicos,Inundaciones,Muy Alto,Iztacalco,5.0
"19.2800438069,-99.0539605704",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.4531671271,-99.0835689827",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.2803068959,-99.044693749",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.4797248369,-99.125081824",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.3023207966,-99.0431017862",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.3002932032,-99.029687491",Socio Organizativo,N/D,Alto,Tláhuac,4.0
"19.4297495341,-99.0622667392",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.4166390494,-99.1116032098",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.2934211849,-99.0423765509",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.4353442187,-99.1462921298",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.2307094091,-99.0007991049",Socio Organizativo,N/D,Alto,Tláhuac,4.0
"19.3016878256,-99.06179983",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.2932631989,-99.0115620114",Geológicos,Sísmico,Muy Alto,Tláhuac,5.0
"19.3966279547,-99.11707721",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.4082883391,-99.1800488904",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.364211719,-99.1345258579",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3872800722,-99.0584771871",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.225735476,-99.1750312377",Socio Organizativo,N/D,Alto,Tlalpan,4.0
"19.4087311768,-99.1877783852",Hidrometeorológicos,Inundaciones,Alto,Miguel Hidalgo,4.0
"19.3680563408,-98.9951251753",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3395809653,-99.0460136051",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3988499893,-99.0693873466",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.3408438889,-99.125017215",Hidrometeorológicos,Inundaciones,Muy Alto,Coyoacán,5.0
"19.3370621693,-99.0551612994",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3342693633,-99.0540363272",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3367902336,-99.0486962097",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3530305201,-99.0208123006",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3813135786,-99.037264711",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3784079514,-99.2073261644",Socio Organizativo,N/D,Alto,Álvaro Obregón,4.0
"19.3748244353,-99.0558659632",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3739629919,-99.0288813783",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3186413541,-99.0858034644",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3793236853,-99.0508397234",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3044809102,-99.0750434171",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.4217500459,-99.1110960305",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.4582168764,-99.130623293",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.3059696119,-99.0808447841",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3321584172,-99.0311164981",Socio Organizativo,N/D,Alto,Iztapalapa,4.0
"19.3627502094,-99.1465803109",Hidrometeorológicos,Inundaciones,Muy Alto,Benito Juárez,5.0
"19.3266846174,-99.0549006283",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.4535429421,-99.1463521835",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
